season,week,celebrity_name,fan_vote_share,fan_rank,mean,std,cv,certainty,ci_low,ci_high,ci_width,judge_total,eliminated,week_type,regime
8,1,Denise Richards,0.07692307692307693,2.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,18.0,False,no_elim,percent
8,1,David Alan Grier,0.07692307692307693,3.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,19.0,False,no_elim,percent
8,1,Lawrence Taylor,0.07692307692307693,4.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,16.0,False,no_elim,percent
8,1,Ty Murray,0.07692307692307693,5.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,14.0,False,no_elim,percent
8,1,Shawn Johnson,0.07692307692307693,6.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,23.0,False,no_elim,percent
8,1,Steve Wozniak,0.07692307692307693,7.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,13.0,False,no_elim,percent
8,1,Belinda Carlisle,0.07692307692307693,8.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,17.0,False,no_elim,percent
8,1,Chuck Wicks,0.07692307692307693,9.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,20.0,False,no_elim,percent
8,1,Lil' Kim,0.07692307692307693,10.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,21.0,False,no_elim,percent
8,1,Steve-O,0.07692307692307693,11.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,17.0,False,no_elim,percent
8,1,Holly Madison,0.07692307692307693,12.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,18.0,False,no_elim,percent
8,1,Melissa Rycroft,0.07692307692307693,13.0,0.07692307692307694,1.3877787807814457e-17,1.804112415015879e-16,0.9999999999999998,0.07692307692307693,0.07692307692307693,0.0,23.0,False,no_elim,percent
8,2,Gilles Marini,0.08447435545894705,1.0,0.08463823772806707,0.0005045145001897281,0.005960834177699626,0.9940744868237618,0.08367102084077581,0.08550872260785797,0.0018377017670821588,27.0,False,single_elim,percent
8,2,Denise Richards,0.07892700786673887,5.0,0.07900156621192592,0.00042838714867240015,0.005422514631206536,0.9946067304518285,0.07818583308453064,0.07971885365096223,0.0015330205664315921,21.0,False,single_elim,percent
8,2,David Alan Grier,0.07543266887932154,10.0,0.07544990230990165,0.0004148135856881389,0.005497867763755885,0.994532193513266,0.07471295311284497,0.07616869392805073,0.001455740815205761,17.0,False,single_elim,percent
8,2,Lawrence Taylor,0.07803853316109334,8.0,0.07819602110328011,0.0003170132225773898,0.004054083802533681,0.9959622854307011,0.0777083765690058,0.07885956173781053,0.001151185168804733,20.0,False,single_elim,percent
8,2,Ty Murray,0.07803853316109334,7.0,0.0781643855217692,0.0004846933188445012,0.006200948368096766,0.9938372664246107,0.07713211467612026,0.078869527184462,0.0017374125083417374,20.0,False,single_elim,percent
8,2,Shawn Johnson,0.08165358606850044,3.0,0.08182496811141311,0.0003944362855250617,0.004820488105635387,0.9952026375231229,0.08120214347164498,0.08257422326530897,0.001372079793663994,24.0,False,single_elim,percent
8,2,Steve Wozniak,0.07543266887932154,11.0,0.07549992573922719,0.00041878042817698687,0.005546766093829452,0.9944838308064212,0.07467414491276299,0.0761850505969331,0.0015109056841701163,17.0,False,single_elim,percent
8,2,Belinda Carlisle,0.05650096484615353,13.0,0.05522052814783417,0.00210786449604449,0.0381717554457538,0.9632317530837042,0.05137989512243688,0.058905587665355565,0.007525692542918683,18.0,True,single_elim,percent
8,2,Chuck Wicks,0.07803853316109334,6.0,0.07809888975248597,0.00042371325842524034,0.005425342918037489,0.994603932598027,0.07743663587466312,0.07882879120441127,0.0013921553297481515,20.0,False,single_elim,percent
8,2,Lil' Kim,0.08073441850079534,4.0,0.08081471544459515,0.0003440882934586649,0.00425774305540387,0.9957603084618,0.08015597720921729,0.08134358562480651,0.0011876084155892225,23.0,False,single_elim,percent
8,2,Steve-O,0.0729138196704881,12.0,0.0728273587945298,0.00031122774781749995,0.00427350041205774,0.9957446846797169,0.07234045075152543,0.0735480645677986,0.0012076138162731703,14.0,False,single_elim,percent
8,2,Holly Madison,0.07629147561957979,9.0,0.0763680411463075,0.00037985466134933283,0.004974000323271344,0.9950506179048697,0.07572983931980154,0.07716041538679998,0.0014305760669984374,18.0,False,single_elim,percent
8,2,Melissa Rycroft,0.08352343472687389,2.0,0.08389545998866317,0.0005251800513663599,0.006259934106533628,0.9937790088879054,0.08311513720522319,0.0848219233335653,0.0017067861283421026,26.0,False,single_elim,percent
8,3,Gilles Marini,0.09185694604378973,1.0,0.0899444643178907,0.0004989653934075059,0.005547483074044586,0.9944831217148639,0.08911640915014309,0.0908685663668996,0.0017521572167565197,27.0,False,single_elim,percent
8,3,Denise Richards,0.049764006848968485,12.0,0.002567161532703919,0.0020114793607861324,0.783542186637355,0.5606819998384084,0.0010783203975614636,0.007258786129276459,0.0061804657317149955,16.0,True,single_elim,percent
8,3,David Alan Grier,0.0886591606060576,5.0,0.08680093617496801,0.0004361119183161127,0.005024276667212725,0.9950008404932525,0.08597883174115235,0.0874648572178813,0.00148602547672895,24.0,False,single_elim,percent
8,3,Lawrence Taylor,0.0845679427269095,8.0,0.08290886023517388,0.0006091610642200798,0.007347357839586422,0.9927062320832966,0.08176495682391352,0.0839662723905612,0.0022013155666476825,20.0,False,single_elim,percent
8,3,Ty Murray,0.08761816487995568,6.0,0.08583570361204171,0.000594761354554935,0.006929067154189404,0.993118614428549,0.08472075414306303,0.08676493567301956,0.002044181529956529,23.0,False,single_elim,percent
8,3,Shawn Johnson,0.09185694604378973,2.0,0.09007039072670793,0.00044387702849777024,0.0049281126118857895,0.9950960545833698,0.0891655116313587,0.090737359487237,0.0015718478558783,27.0,False,single_elim,percent
8,3,Steve Wozniak,0.07514691251091783,11.0,0.07358329717310773,0.00043220273597687094,0.005873652752473109,0.9941606455876436,0.07270600021486937,0.07429662725118555,0.0015906270363161834,10.0,False,single_elim,percent
8,3,Chuck Wicks,0.08761816487995568,7.0,0.08593409902835678,0.0004872574083431638,0.005670128783015194,0.9943618403085346,0.0849696855675533,0.08672585660528692,0.0017561710377336226,23.0,False,single_elim,percent
8,3,Lil' Kim,0.08971252445357872,4.0,0.08799425629023215,0.0005161897297500852,0.005866175265434741,0.9941680360571954,0.08718992603642867,0.08912032634456675,0.0019304003081380833,25.0,False,single_elim,percent
8,3,Steve-O,0.07971837801490556,10.0,0.07817627702714144,0.0004330987228870056,0.005540027478369701,0.9944904953289004,0.07736725026494418,0.078792473804604,0.00142522353965982,15.0,False,single_elim,percent
8,3,Holly Madison,0.08162390694738167,9.0,0.0799489923930043,0.0004827493016248665,0.006038216207301545,0.9939980250153266,0.07892276395665725,0.08073337279182737,0.0018106088351701188,17.0,False,single_elim,percent
